colour	key	showSelected2	showSelected3	PANEL	fill	group
#000000	1	1	LOPART	2	#000000	1
#000000	1	2	LOPART	2	#000000	2
#000000	1	3	LOPART	2	#000000	3
#000000	1	4	LOPART	2	#000000	4
#000000	1	5	LOPART	2	#000000	5
#000000	1	6	LOPART	2	#000000	6
#000000	1	7	LOPART	2	#000000	7
#000000	1	8	LOPART	2	#000000	8
#000000	1	9	LOPART	2	#000000	9
#000000	1	10	LOPART	2	#000000	10
#000000	1	11	LOPART	2	#000000	11
#000000	1	12	LOPART	2	#000000	12
#000000	1	13	LOPART	2	#000000	13
#000000	1	14	LOPART	2	#000000	14
#000000	1	15	LOPART	2	#000000	15
#000000	1	16	LOPART	2	#000000	16
#000000	1	17	LOPART	2	#000000	17
#000000	1	18	LOPART	2	#000000	18
#000000	1	19	LOPART	2	#000000	19
#000000	1	20	LOPART	2	#000000	20
#000000	1	21	LOPART	2	#000000	21
#000000	1	22	LOPART	2	#000000	22
#000000	1	23	LOPART	2	#000000	23
#000000	1	24	LOPART	2	#000000	24
#000000	1	25	LOPART	2	#000000	25
#000000	1	26	LOPART	2	#000000	26
#000000	1	27	LOPART	2	#000000	27
#000000	1	28	LOPART	2	#000000	28
#000000	1	29	LOPART	2	#000000	29
#000000	1	30	LOPART	2	#000000	30
#000000	1	31	LOPART	2	#000000	31
#000000	1	32	LOPART	2	#000000	32
#000000	1	33	LOPART	2	#000000	33
#000000	1	34	LOPART	2	#000000	34
#000000	1	35	LOPART	2	#000000	35
#000000	1	36	LOPART	2	#000000	36
#000000	1	37	LOPART	2	#000000	37
#000000	1	38	LOPART	2	#000000	38
#000000	1	39	LOPART	2	#000000	39
#000000	1	40	LOPART	2	#000000	40
#000000	1	41	LOPART	2	#000000	41
#000000	1	42	LOPART	2	#000000	42
#000000	1	43	LOPART	2	#000000	43
#000000	1	44	LOPART	2	#000000	44
#000000	1	45	LOPART	2	#000000	45
#000000	1	46	LOPART	2	#000000	46
#000000	1	47	LOPART	2	#000000	47
#000000	1	48	LOPART	2	#000000	48
#000000	1	49	LOPART	2	#000000	49
#000000	1	50	LOPART	2	#000000	50
#000000	1	51	LOPART	2	#000000	51
#000000	1	52	LOPART	2	#000000	52
#000000	1	53	LOPART	2	#000000	53
#000000	1	54	LOPART	2	#000000	54
#000000	1	55	LOPART	2	#000000	55
#000000	1	56	LOPART	2	#000000	56
#000000	1	57	LOPART	2	#000000	57
#000000	1	58	LOPART	2	#000000	58
#000000	1	59	LOPART	2	#000000	59
#000000	1	60	LOPART	2	#000000	60
#000000	1	61	LOPART	2	#000000	61
#000000	1	62	LOPART	2	#000000	62
#000000	1	63	LOPART	2	#000000	63
#000000	1	64	LOPART	2	#000000	64
#000000	1	65	LOPART	2	#000000	65
#000000	1	66	LOPART	2	#000000	66
#000000	1	67	LOPART	2	#000000	67
#000000	1	68	LOPART	2	#000000	68
#000000	1	69	LOPART	2	#000000	69
#000000	1	70	LOPART	2	#000000	70
#000000	1	71	LOPART	2	#000000	71
#000000	1	72	LOPART	2	#000000	72
#000000	1	73	LOPART	2	#000000	73
#000000	1	74	LOPART	2	#000000	74
#000000	1	75	LOPART	2	#000000	75
#000000	1	76	LOPART	2	#000000	76
#000000	1	77	LOPART	2	#000000	77
#000000	1	78	LOPART	2	#000000	78
#000000	1	79	LOPART	2	#000000	79
#000000	1	90	LOPART	2	#000000	80
#000000	1	91	LOPART	2	#000000	81
#000000	1	92	LOPART	2	#000000	82
#000000	1	93	LOPART	2	#000000	83
#000000	1	94	LOPART	2	#000000	84
#000000	1	95	LOPART	2	#000000	85
#000000	1	96	LOPART	2	#000000	86
#000000	1	97	LOPART	2	#000000	87
#000000	1	98	LOPART	2	#000000	88
#000000	1	99	LOPART	2	#000000	89
#000000	1	100	LOPART	2	#000000	90
